target,id,question,question_concept,input,input_choices
D,33c84708785f88c19737ef5b0e31a64b,"{'question_concept': 'pail', 'choices': [{'label': 'A', 'text': 'garage'}, {'label': 'B', 'text': 'utility room'}, {'label': 'C', 'text': 'slide'}, {'label': 'D', 'text': 'wishing well'}, {'label': 'E', 'text': 'garden'}], 'stem': ""While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?""}",pail,"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?","A: garage, B: utility room, C: slide, D: wishing well, E: garden"
D,8c607d2e2e897d74048fcc794137b683,"{'question_concept': 'human', 'choices': [{'label': 'A', 'text': 'deep thought'}, {'label': 'B', 'text': 'park'}, {'label': 'C', 'text': ""friend's house""}, {'label': 'D', 'text': 'place of work'}, {'label': 'E', 'text': 'school'}], 'stem': 'When a human is earning money, where are they often found?'}",human,"When a human is earning money, where are they often found?","A: deep thought, B: park, C: friend's house, D: place of work, E: school"
A,526cd34f5b2afefbbb7830434785f298,"{'question_concept': 'marble', 'choices': [{'label': 'A', 'text': 'game'}, {'label': 'B', 'text': 'pouch'}, {'label': 'C', 'text': 'home'}, {'label': 'D', 'text': 'store'}, {'label': 'E', 'text': 'jar'}], 'stem': 'Sarah dropped the marble because she wanted to do what?'}",marble,Sarah dropped the marble because she wanted to do what?,"A: game, B: pouch, C: home, D: store, E: jar"
E,83808e92381b2e5f4cdf55d1391645ae,"{'question_concept': 'candle', 'choices': [{'label': 'A', 'text': 'shelf'}, {'label': 'B', 'text': 'board'}, {'label': 'C', 'text': 'church'}, {'label': 'D', 'text': 'table'}, {'label': 'E', 'text': 'dark'}], 'stem': 'What are candles good for eliminating?'}",candle,What are candles good for eliminating?,"A: shelf, B: board, C: church, D: table, E: dark"
A,b4130d1790948134f3aeab9d3d79c181,"{'question_concept': 'bookcase', 'choices': [{'label': 'A', 'text': 'study'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'homw'}, {'label': 'D', 'text': 'kitchen'}, {'label': 'E', 'text': 'den'}], 'stem': 'What room would you find many bookcases and is used for contemplation?'}",bookcase,What room would you find many bookcases and is used for contemplation?,"A: study, B: house, C: homw, D: kitchen, E: den"
A,34b2d6aecdb5af8efacf0b0aa7e3989f,"{'question_concept': 'fabric', 'choices': [{'label': 'A', 'text': 'sewing room'}, {'label': 'B', 'text': 'clothing store'}, {'label': 'C', 'text': 'tailor shop'}, {'label': 'D', 'text': 'clothes store'}, {'label': 'E', 'text': 'cotton mill'}], 'stem': 'Where does one store fabric in their own home?'}",fabric,Where does one store fabric in their own home?,"A: sewing room, B: clothing store, C: tailor shop, D: clothes store, E: cotton mill"
A,ee46995407eb6357bb5410d49d378629,"{'question_concept': 'traveller', 'choices': [{'label': 'A', 'text': 'bus stop'}, {'label': 'B', 'text': 'library'}, {'label': 'C', 'text': 'motel'}, {'label': 'D', 'text': 'airport'}, {'label': 'E', 'text': 'subway'}], 'stem': 'A traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?'}",traveller,A traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?,"A: bus stop, B: library, C: motel, D: airport, E: subway"
B,64931f9097155672bfe3e16f03b2c195,"{'question_concept': 'paper clips', 'choices': [{'label': 'A', 'text': 'desktop'}, {'label': 'B', 'text': 'university'}, {'label': 'C', 'text': 'drawer'}, {'label': 'D', 'text': 'table'}, {'label': 'E', 'text': 'work'}], 'stem': 'Pens, computers, text books and paper clips can all be found where?'}",paper clips,"Pens, computers, text books and paper clips can all be found where?","A: desktop, B: university, C: drawer, D: table, E: work"
E,0611dfbf5114084723d75f59b4f67412,"{'question_concept': 'briefcase', 'choices': [{'label': 'A', 'text': 'office building'}, {'label': 'B', 'text': 'school'}, {'label': 'C', 'text': 'courtroom'}, {'label': 'D', 'text': 'airport'}, {'label': 'E', 'text': 'hand'}], 'stem': 'What do you use to carry your briefcase?'}",briefcase,What do you use to carry your briefcase?,"A: office building, B: school, C: courtroom, D: airport, E: hand"
E,adbddc80b10bf25f09c6c2bee4e3c59b,"{'question_concept': 'clock', 'choices': [{'label': 'A', 'text': 'counter'}, {'label': 'B', 'text': 'train station'}, {'label': 'C', 'text': 'school room'}, {'label': 'D', 'text': 'desk'}, {'label': 'E', 'text': 'department store'}], 'stem': 'Where can you buy a clock, clothing and wrenches?'}",clock,"Where can you buy a clock, clothing and wrenches?","A: counter, B: train station, C: school room, D: desk, E: department store"
B,b93532cae23e505628dd88568da3337e,"{'question_concept': 'dishes', 'choices': [{'label': 'A', 'text': 'drawer'}, {'label': 'B', 'text': 'shelf'}, {'label': 'C', 'text': 'pantry'}, {'label': 'D', 'text': 'apartment'}, {'label': 'E', 'text': 'cabinet'}], 'stem': 'Where can you store your dishes in your dwelling?'}",dishes,Where can you store your dishes in your dwelling?,"A: drawer, B: shelf, C: pantry, D: apartment, E: cabinet"
B,eacd87f297193033669a93160ae3776f,"{'question_concept': 'stapler', 'choices': [{'label': 'A', 'text': 'desk drawer'}, {'label': 'B', 'text': 'office building'}, {'label': 'C', 'text': 'manual'}, {'label': 'D', 'text': 'office supply store'}, {'label': 'E', 'text': 'desktop'}], 'stem': 'Where can I find a stapler in many places?'}",stapler,Where can I find a stapler in many places?,"A: desk drawer, B: office building, C: manual, D: office supply store, E: desktop"
B,8e1b0792e441a5d54ae47a4b24f48977,"{'question_concept': 'seat', 'choices': [{'label': 'A', 'text': 'in cinema'}, {'label': 'B', 'text': 'martorell'}, {'label': 'C', 'text': 'falling down'}, {'label': 'D', 'text': 'show'}, {'label': 'E', 'text': 'airplane'}], 'stem': 'A man takes a seat at a museum outside of Barcelona, where is he likely?'}",seat,"A man takes a seat at a museum outside of Barcelona, where is he likely?","A: in cinema, B: martorell, C: falling down, D: show, E: airplane"
C,b4cde6a56fb19afc84876ebf2fb9e71a,"{'question_concept': 'toy soldier', 'choices': [{'label': 'A', 'text': 'toy box'}, {'label': 'B', 'text': 'movies'}, {'label': 'C', 'text': ""child's hand""}, {'label': 'D', 'text': 'toybos'}, {'label': 'E', 'text': 'child park'}], 'stem': 'Where would you find a toy soldier that is being played with?'}",toy soldier,Where would you find a toy soldier that is being played with?,"A: toy box, B: movies, C: child's hand, D: toybos, E: child park"
C,095c5bc5fbaf12b384e9f7df47fdec16,"{'question_concept': 'plane ticket', 'choices': [{'label': 'A', 'text': 'pocket'}, {'label': 'B', 'text': 'terrorists hands'}, {'label': 'C', 'text': 'airport'}, {'label': 'D', 'text': 'sea ship'}, {'label': 'E', 'text': 'briefcase'}], 'stem': ""Where are you when you're about to use your plane ticket?""}",plane ticket,Where are you when you're about to use your plane ticket?,"A: pocket, B: terrorists hands, C: airport, D: sea ship, E: briefcase"
B,494c501dbbfd36c602aae9e5b8e0cfff,"{'question_concept': 'flowers', 'choices': [{'label': 'A', 'text': 'market'}, {'label': 'B', 'text': 'table'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'anthology'}, {'label': 'E', 'text': 'vase'}], 'stem': 'Flowers make a good center focal point, just one of many arrangements that look good on a what?'}",flowers,"Flowers make a good center focal point, just one of many arrangements that look good on a what?","A: market, B: table, C: countryside, D: anthology, E: vase"
D,5279a2ea333ba8a5bf3a7637a7279da1,"{'question_concept': 'beer', 'choices': [{'label': 'A', 'text': 'shelf'}, {'label': 'B', 'text': 'soccer game'}, {'label': 'C', 'text': 'keg'}, {'label': 'D', 'text': 'can'}, {'label': 'E', 'text': 'refrigerator'}], 'stem': 'Batman bought beer.  There were no bottles available.  He had to settle for what?.'}",beer,Batman bought beer.  There were no bottles available.  He had to settle for what?.,"A: shelf, B: soccer game, C: keg, D: can, E: refrigerator"
B,8b23cd355ffc8b6e7aa5459ffb21b4e0,"{'question_concept': 'dining area', 'choices': [{'label': 'A', 'text': 'cruise ship'}, {'label': 'B', 'text': 'home'}, {'label': 'C', 'text': 'mall'}, {'label': 'D', 'text': 'restaurant'}, {'label': 'E', 'text': 'dark cave'}], 'stem': 'Where is a dining area likely to be small?'}",dining area,Where is a dining area likely to be small?,"A: cruise ship, B: home, C: mall, D: restaurant, E: dark cave"
C,72b638200414a526b598de0e01a044df,"{'question_concept': 'musical instrument', 'choices': [{'label': 'A', 'text': 'guitar'}, {'label': 'B', 'text': 'music room'}, {'label': 'C', 'text': 'orchestra'}, {'label': 'D', 'text': 'case'}, {'label': 'E', 'text': 'movie'}], 'stem': 'What would use a musical instrument?'}",musical instrument,What would use a musical instrument?,"A: guitar, B: music room, C: orchestra, D: case, E: movie"
C,95acebea992a26c3a7c3bfb45845fa83,"{'question_concept': 'reception', 'choices': [{'label': 'A', 'text': 'room service'}, {'label': 'B', 'text': 'church basement'}, {'label': 'C', 'text': 'lobby'}, {'label': 'D', 'text': 'large room'}, {'label': 'E', 'text': 'country club'}], 'stem': 'If a reception is held with hotel guests walking by, what is the likely venue?'}",reception,"If a reception is held with hotel guests walking by, what is the likely venue?","A: room service, B: church basement, C: lobby, D: large room, E: country club"
B,c2c2a387fd9a6a26cff636008de21f71,"{'question_concept': 'beer', 'choices': [{'label': 'A', 'text': 'refrigerator'}, {'label': 'B', 'text': ""friend's house""}, {'label': 'C', 'text': 'keg'}, {'label': 'D', 'text': ""neighbor's house""}, {'label': 'E', 'text': 'kitchen'}], 'stem': 'What is a place that is far away from your house and where you could consume beer?'}",beer,What is a place that is far away from your house and where you could consume beer?,"A: refrigerator, B: friend's house, C: keg, D: neighbor's house, E: kitchen"
B,5c224410a40c9269b1e542cfcb430d35,"{'question_concept': 'cup of coffee', 'choices': [{'label': 'A', 'text': 'table'}, {'label': 'B', 'text': 'office'}, {'label': 'C', 'text': 'desk'}, {'label': 'D', 'text': 'kitchen'}, {'label': 'E', 'text': 'ocean'}], 'stem': 'Where do people want to have a lot of coffee?'}",cup of coffee,Where do people want to have a lot of coffee?,"A: table, B: office, C: desk, D: kitchen, E: ocean"
C,1b3d286458a7e7f069222de0376d06da,"{'question_concept': 'key', 'choices': [{'label': 'A', 'text': 'car stand'}, {'label': 'B', 'text': 'at hotel'}, {'label': 'C', 'text': 'own home'}, {'label': 'D', 'text': 'front door'}, {'label': 'E', 'text': 'bus depot'}], 'stem': 'What would someone use a personal key for?'}",key,What would someone use a personal key for?,"A: car stand, B: at hotel, C: own home, D: front door, E: bus depot"
A,cab9eea2a91b1bd5c0a01b11f594f154,"{'question_concept': 'japanese restaurant', 'choices': [{'label': 'A', 'text': 'california'}, {'label': 'B', 'text': 'downtown'}, {'label': 'C', 'text': 'large town'}, {'label': 'D', 'text': 'tokio'}, {'label': 'E', 'text': 'china town'}], 'stem': 'Where are you likely to find a Japanese restaurant not run by people from Japan?'}",japanese restaurant,Where are you likely to find a Japanese restaurant not run by people from Japan?,"A: california, B: downtown, C: large town, D: tokio, E: china town"
D,fc59ab1a9e6d2b51126dd828d30e9167,"{'question_concept': 'food', 'choices': [{'label': 'A', 'text': 'shop'}, {'label': 'B', 'text': 'bookcase'}, {'label': 'C', 'text': 'shelf'}, {'label': 'D', 'text': 'refrigerators'}, {'label': 'E', 'text': 'kitchen'}], 'stem': 'Some food can be stored at room temperature until you open it, then you should keep it in what?'}",food,"Some food can be stored at room temperature until you open it, then you should keep it in what?","A: shop, B: bookcase, C: shelf, D: refrigerators, E: kitchen"
D,e5adfec0b5ba691ec752f9b5e0fb8084,"{'question_concept': 'literature', 'choices': [{'label': 'A', 'text': 'books and magazines'}, {'label': 'B', 'text': 'own home'}, {'label': 'C', 'text': 'kitchen'}, {'label': 'D', 'text': 'shelf'}, {'label': 'E', 'text': 'meeting'}], 'stem': 'Where does one usually keep literature?'}",literature,Where does one usually keep literature?,"A: books and magazines, B: own home, C: kitchen, D: shelf, E: meeting"
E,406e15b76269d20b5448a91648094291,"{'question_concept': 'keyboard', 'choices': [{'label': 'A', 'text': 'killing'}, {'label': 'B', 'text': 'typewriter'}, {'label': 'C', 'text': 'office'}, {'label': 'D', 'text': 'terminal'}, {'label': 'E', 'text': 'organ'}], 'stem': 'WHat type of keyboard is made up of one or more pipe divisions?'}",keyboard,WHat type of keyboard is made up of one or more pipe divisions?,"A: killing, B: typewriter, C: office, D: terminal, E: organ"
B,1ef68db97654f30cd3701b942fadc934,"{'question_concept': 'furniture', 'choices': [{'label': 'A', 'text': 'sewer'}, {'label': 'B', 'text': ""neighbor's house""}, {'label': 'C', 'text': 'apartment'}, {'label': 'D', 'text': 'room'}, {'label': 'E', 'text': 'floor'}], 'stem': 'Where would you borrow furniture if you do not have any?'}",furniture,Where would you borrow furniture if you do not have any?,"A: sewer, B: neighbor's house, C: apartment, D: room, E: floor"
E,91f2532a832a35cba1b08a3c767be6da,"{'question_concept': 'darkness', 'choices': [{'label': 'A', 'text': 'movies'}, {'label': 'B', 'text': 'bed'}, {'label': 'C', 'text': 'moon'}, {'label': 'D', 'text': 'vault'}, {'label': 'E', 'text': 'cellar'}], 'stem': 'I want my wine stored in darkness, where should it go?'}",darkness,"I want my wine stored in darkness, where should it go?","A: movies, B: bed, C: moon, D: vault, E: cellar"
E,f8544c9679d27b747dfad3b8d7aac87a,"{'question_concept': 'steakhouse', 'choices': [{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'florida'}, {'label': 'C', 'text': 'wine'}, {'label': 'D', 'text': 'texas'}, {'label': 'E', 'text': 'building'}], 'stem': 'If I want to open a steakhouse, what should I get first?'}",steakhouse,"If I want to open a steakhouse, what should I get first?","A: michigan, B: florida, C: wine, D: texas, E: building"
D,e1d354cbfcd620e5dacf83c17746c4b3,"{'question_concept': 'spiders', 'choices': [{'label': 'A', 'text': 'cupboard'}, {'label': 'B', 'text': 'closet'}, {'label': 'C', 'text': 'storage bag'}, {'label': 'D', 'text': 'mail box'}, {'label': 'E', 'text': 'garage'}], 'stem': 'Joe found spiders while checking something outside.  What might that be?'}",spiders,Joe found spiders while checking something outside.  What might that be?,"A: cupboard, B: closet, C: storage bag, D: mail box, E: garage"
A,0f7419d25337e0a75503a015ae777905,"{'question_concept': 'sale', 'choices': [{'label': 'A', 'text': 'overpriced'}, {'label': 'B', 'text': 'purchase'}, {'label': 'C', 'text': 'expensive'}, {'label': 'D', 'text': 'park'}, {'label': 'E', 'text': 'buying'}], 'stem': 'Most items in retail stores are what even when they are on sale?'}",sale,Most items in retail stores are what even when they are on sale?,"A: overpriced, B: purchase, C: expensive, D: park, E: buying"
B,3e536d9253bfac45de83e8ee291ca143,"{'question_concept': 'furniture', 'choices': [{'label': 'A', 'text': 'apartment'}, {'label': 'B', 'text': 'loft'}, {'label': 'C', 'text': 'store'}, {'label': 'D', 'text': 'rug'}, {'label': 'E', 'text': 'stairs'}], 'stem': 'Where might it be hard to get furniture to?'}",furniture,Where might it be hard to get furniture to?,"A: apartment, B: loft, C: store, D: rug, E: stairs"
D,bbcef409e0acb71b515acc144d5b402c_1,"{'question_concept': 'jeans', 'choices': [{'label': 'A', 'text': 'shopping mall'}, {'label': 'B', 'text': 'museum'}, {'label': 'C', 'text': 'laundromat'}, {'label': 'D', 'text': 'clothing store'}, {'label': 'E', 'text': 'bedroom'}], 'stem': 'Where would you get jeans and other wearable items to take home with you?'}",jeans,Where would you get jeans and other wearable items to take home with you?,"A: shopping mall, B: museum, C: laundromat, D: clothing store, E: bedroom"
E,b92f786638796fc028947ac0e9a44fef,"{'question_concept': 'empire state building', 'choices': [{'label': 'A', 'text': 'manhattan'}, {'label': 'B', 'text': 'office'}, {'label': 'C', 'text': 'the city'}, {'label': 'D', 'text': 'fifth avenue'}, {'label': 'E', 'text': 'new york city'}], 'stem': 'Where is the large area location of the empire state building?'}",empire state building,Where is the large area location of the empire state building?,"A: manhattan, B: office, C: the city, D: fifth avenue, E: new york city"
E,5abeb4a2126597d4ef7b5a32e9e22abf,"{'question_concept': 'cup of coffee', 'choices': [{'label': 'A', 'text': 'coffee shop'}, {'label': 'B', 'text': 'office'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'washing'}, {'label': 'E', 'text': 'kitchen'}], 'stem': 'Where do most people make coffee?'}",cup of coffee,Where do most people make coffee?,"A: coffee shop, B: office, C: table, D: washing, E: kitchen"
D,8d4b0312f02be445e09a9462873d02bb,"{'question_concept': 'body', 'choices': [{'label': 'A', 'text': 'bodycam'}, {'label': 'B', 'text': 'home'}, {'label': 'C', 'text': 'coffin'}, {'label': 'D', 'text': 'funeral'}, {'label': 'E', 'text': 'graveyard'}], 'stem': ""What kind of service is my body a part of when I'm no longer here?""}",body,What kind of service is my body a part of when I'm no longer here?,"A: bodycam, B: home, C: coffin, D: funeral, E: graveyard"
A,8b3b598a647dfd2d63fcedce5f461040,"{'question_concept': 'saw', 'choices': [{'label': 'A', 'text': 'hardware store'}, {'label': 'B', 'text': 'toolbox'}, {'label': 'C', 'text': 'logging camp'}, {'label': 'D', 'text': 'tool kit'}, {'label': 'E', 'text': 'auger'}], 'stem': 'Where can someone get a new saw?'}",saw,Where can someone get a new saw?,"A: hardware store, B: toolbox, C: logging camp, D: tool kit, E: auger"
A,b399f6008d90dbd92bcce5abed4c1fd1,"{'question_concept': 'goods', 'choices': [{'label': 'A', 'text': 'mall'}, {'label': 'B', 'text': 'grocery store'}, {'label': 'C', 'text': 'grocery store'}, {'label': 'D', 'text': 'shop'}, {'label': 'E', 'text': 'supermarket'}], 'stem': 'Where would you go if you want to buy some clothes?'}",goods,Where would you go if you want to buy some clothes?,"A: mall, B: grocery store, C: grocery store, D: shop, E: supermarket"
B,80c19c62338edae0e8a1f5c6fec0d29a,"{'question_concept': 'food', 'choices': [{'label': 'A', 'text': 'etna'}, {'label': 'B', 'text': 'cupboard'}, {'label': 'C', 'text': 'oven'}, {'label': 'D', 'text': 'stomach'}, {'label': 'E', 'text': 'fridge'}], 'stem': 'Where is food likely to stay dry?'}",food,Where is food likely to stay dry?,"A: etna, B: cupboard, C: oven, D: stomach, E: fridge"
C,b9e04a53c0ee7325b901de4d12d56884,"{'question_concept': 'musical instrument', 'choices': [{'label': 'A', 'text': 'bank'}, {'label': 'B', 'text': 'orchestra'}, {'label': 'C', 'text': 'case'}, {'label': 'D', 'text': 'music room'}, {'label': 'E', 'text': 'movie'}], 'stem': ""Where do you keep musical instrument so it doesn't get scratched?""}",musical instrument,Where do you keep musical instrument so it doesn't get scratched?,"A: bank, B: orchestra, C: case, D: music room, E: movie"
D,178cb8153123716aa94f286b615149d4,"{'question_concept': 'beauty salon', 'choices': [{'label': 'A', 'text': 'clerk'}, {'label': 'B', 'text': 'mall'}, {'label': 'C', 'text': 'strip mall'}, {'label': 'D', 'text': 'city'}, {'label': 'E', 'text': 'neighborhood'}], 'stem': 'Where could you find hundreds of beauty salon?'}",beauty salon,Where could you find hundreds of beauty salon?,"A: clerk, B: mall, C: strip mall, D: city, E: neighborhood"
B,ec86900559a0faf2aef066e511a4cfa6,"{'question_concept': 'ink', 'choices': [{'label': 'A', 'text': 'squid'}, {'label': 'B', 'text': 'fountain pen'}, {'label': 'C', 'text': 'pencil case'}, {'label': 'D', 'text': 'newspaper'}, {'label': 'E', 'text': 'printer'}], 'stem': 'what do you fill with ink to write?'}",ink,what do you fill with ink to write?,"A: squid, B: fountain pen, C: pencil case, D: newspaper, E: printer"
E,27d9b4df2ca50112d282331df4923e96,"{'question_concept': 'map', 'choices': [{'label': 'A', 'text': 'truck stop'}, {'label': 'B', 'text': 'amusement park'}, {'label': 'C', 'text': 'atlas'}, {'label': 'D', 'text': 'mall'}, {'label': 'E', 'text': 'gas station'}], 'stem': 'If you were lost you might need a map, the best place to find one on the road is at any what?'}",map,"If you were lost you might need a map, the best place to find one on the road is at any what?","A: truck stop, B: amusement park, C: atlas, D: mall, E: gas station"
D,ab755203f41a2e241f0ee8a53c54f287,"{'question_concept': 'net', 'choices': [{'label': 'A', 'text': 'sports'}, {'label': 'B', 'text': 'fishing gear'}, {'label': 'C', 'text': 'soccer game'}, {'label': 'D', 'text': 'fishing boat'}, {'label': 'E', 'text': 'badminton'}], 'stem': 'Where would you put a net if you wanted to use it?'}",net,Where would you put a net if you wanted to use it?,"A: sports, B: fishing gear, C: soccer game, D: fishing boat, E: badminton"
D,fb64149cf01c5b496d986f56852273e9,"{'question_concept': 'cable', 'choices': [{'label': 'A', 'text': 'radio shack'}, {'label': 'B', 'text': 'electrical device'}, {'label': 'C', 'text': 'shower'}, {'label': 'D', 'text': 'substation'}, {'label': 'E', 'text': 'television'}], 'stem': 'What is a place that has large cable hanging overhead?'}",cable,What is a place that has large cable hanging overhead?,"A: radio shack, B: electrical device, C: shower, D: substation, E: television"
B,22fc45d9e6d0baea4a5b0526504225b8,"{'question_concept': 'suitcase', 'choices': [{'label': 'A', 'text': 'baggage compartment'}, {'label': 'B', 'text': 'movie'}, {'label': 'C', 'text': 'subway'}, {'label': 'D', 'text': 'airplane'}, {'label': 'E', 'text': 'cargo hold'}], 'stem': 'What might a person be watching if they see a man with a suitcase full of money?'}",suitcase,What might a person be watching if they see a man with a suitcase full of money?,"A: baggage compartment, B: movie, C: subway, D: airplane, E: cargo hold"
C,059155c50d1b04da7373e309868e67d2,"{'question_concept': 'hinged door', 'choices': [{'label': 'A', 'text': 'kitchen'}, {'label': 'B', 'text': 'safe'}, {'label': 'C', 'text': 'own house'}, {'label': 'D', 'text': 'building'}, {'label': 'E', 'text': 'pantry'}], 'stem': 'If I put in my key and open a hinged door, where am I likely entering?'}",hinged door,"If I put in my key and open a hinged door, where am I likely entering?","A: kitchen, B: safe, C: own house, D: building, E: pantry"
C,33d023a6806390eb8195380331e17404_1,"{'question_concept': 'reception desk', 'choices': [{'label': 'A', 'text': 'motel'}, {'label': 'B', 'text': 'hostel'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'lobby'}, {'label': 'E', 'text': 'office park'}], 'stem': 'If somebody is working at a reception desk, they are located at the front entrance of the what?'}",reception desk,"If somebody is working at a reception desk, they are located at the front entrance of the what?","A: motel, B: hostel, C: building, D: lobby, E: office park"
C,28aac6d39cdd270d2a6a28e1985484cb,"{'question_concept': 'bungalow', 'choices': [{'label': 'A', 'text': 'woods'}, {'label': 'B', 'text': 'bed'}, {'label': 'C', 'text': 'suburbs'}, {'label': 'D', 'text': 'rural'}, {'label': 'E', 'text': 'neighborhood'}], 'stem': ""Where would a person live that isn't in the metro area but still has good schools?""}",bungalow,Where would a person live that isn't in the metro area but still has good schools?,"A: woods, B: bed, C: suburbs, D: rural, E: neighborhood"
C,35872be88df5f6c4a6600020266a5458,"{'question_concept': 'top floor', 'choices': [{'label': 'A', 'text': 'go down'}, {'label': 'B', 'text': 'apartment building'}, {'label': 'C', 'text': 'tall building'}, {'label': 'D', 'text': 'office building'}, {'label': 'E', 'text': 'cabin'}], 'stem': 'What type of building has the most top floor?'}",top floor,What type of building has the most top floor?,"A: go down, B: apartment building, C: tall building, D: office building, E: cabin"
A,5ef6cdb85468df482e3aa6fa339d6e41,"{'question_concept': 'restaurant', 'choices': [{'label': 'A', 'text': 'yellow pages'}, {'label': 'B', 'text': 'town'}, {'label': 'C', 'text': 'business sector'}, {'label': 'D', 'text': 'town'}, {'label': 'E', 'text': 'at hotel'}], 'stem': ""Where can you find a restaurant's phone number?""}",restaurant,Where can you find a restaurant's phone number?,"A: yellow pages, B: town, C: business sector, D: town, E: at hotel"
B,1e939cc6fef999953d692b57caab254b,"{'question_concept': 'coins', 'choices': [{'label': 'A', 'text': 'stove'}, {'label': 'B', 'text': 'water fountain'}, {'label': 'C', 'text': 'desk'}, {'label': 'D', 'text': 'purse'}, {'label': 'E', 'text': 'jar'}], 'stem': 'What would you put coins into to make it work?'}",coins,What would you put coins into to make it work?,"A: stove, B: water fountain, C: desk, D: purse, E: jar"
C,a943522f7d407cef369d5d3f1bf48589,"{'question_concept': 'piano', 'choices': [{'label': 'A', 'text': 'music school'}, {'label': 'B', 'text': 'music store'}, {'label': 'C', 'text': ""neighbor's house""}, {'label': 'D', 'text': 'lunch'}, {'label': 'E', 'text': 'drawing room'}], 'stem': ""Where can you go to use a piano in your neighborhood if you don't have one?""}",piano,Where can you go to use a piano in your neighborhood if you don't have one?,"A: music school, B: music store, C: neighbor's house, D: lunch, E: drawing room"
A,57a343d72031b668e5eb91868420e915,"{'question_concept': 'shower curtain', 'choices': [{'label': 'A', 'text': 'department store'}, {'label': 'B', 'text': 'restaurant'}, {'label': 'C', 'text': 'hotel'}, {'label': 'D', 'text': 'dime store'}, {'label': 'E', 'text': 'bathtub'}], 'stem': 'Where would you get a shower curtain if you do not have one?'}",shower curtain,Where would you get a shower curtain if you do not have one?,"A: department store, B: restaurant, C: hotel, D: dime store, E: bathtub"
D,236691d38665d7bcdd0c9b9834252a51,"{'question_concept': 'information', 'choices': [{'label': 'A', 'text': 'internet'}, {'label': 'B', 'text': 'book'}, {'label': 'C', 'text': 'online'}, {'label': 'D', 'text': 'google'}, {'label': 'E', 'text': 'manual'}], 'stem': 'Where do most people turn to get information on their phones?'}",information,Where do most people turn to get information on their phones?,"A: internet, B: book, C: online, D: google, E: manual"
D,866ea9c668c0b42df19fa20865e31f77,"{'question_concept': 'food can', 'choices': [{'label': 'A', 'text': 'cabinet'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'recycling center'}, {'label': 'D', 'text': 'backpack'}, {'label': 'E', 'text': 'make person sick'}], 'stem': 'They were getting ready for a really long hike, he put the food can in his what?'}",food can,"They were getting ready for a really long hike, he put the food can in his what?","A: cabinet, B: house, C: recycling center, D: backpack, E: make person sick"
D,22015315e7ff79386877828b4fa27799,"{'question_concept': 'rug', 'choices': [{'label': 'A', 'text': 'persia'}, {'label': 'B', 'text': 'desk'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'living room'}, {'label': 'E', 'text': 'hall'}], 'stem': 'Where would you keep a rug near your front door?'}",rug,Where would you keep a rug near your front door?,"A: persia, B: desk, C: table, D: living room, E: hall"
E,7322d0dcf2e27c7032626a3639f5696b,"{'question_concept': 'food', 'choices': [{'label': 'A', 'text': 'table'}, {'label': 'B', 'text': 'disneyland'}, {'label': 'C', 'text': 'refrigerators'}, {'label': 'D', 'text': 'pantry'}, {'label': 'E', 'text': 'shop'}], 'stem': 'What do you do when you need to get food?'}",food,What do you do when you need to get food?,"A: table, B: disneyland, C: refrigerators, D: pantry, E: shop"
D,88501d528c855e2b533b3fea2f86183d,"{'question_concept': 'bus stop', 'choices': [{'label': 'A', 'text': 'ocean'}, {'label': 'B', 'text': 'getting off of bus'}, {'label': 'C', 'text': 'airport'}, {'label': 'D', 'text': 'urban area'}, {'label': 'E', 'text': 'towns'}], 'stem': 'Where are bus stops more common in what parts?'}",bus stop,Where are bus stops more common in what parts?,"A: ocean, B: getting off of bus, C: airport, D: urban area, E: towns"
D,3d9c3253e24fb108cea9083e8a853cf2,"{'question_concept': 'stranger', 'choices': [{'label': 'A', 'text': 'bus station'}, {'label': 'B', 'text': 'paradise'}, {'label': 'C', 'text': 'train station'}, {'label': 'D', 'text': 'park'}, {'label': 'E', 'text': 'sea'}], 'stem': 'Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?'}",stranger,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?","A: bus station, B: paradise, C: train station, D: park, E: sea"
A,c432b860fcd7297751ff5254ec4a7956,"{'question_concept': 'furniture', 'choices': [{'label': 'A', 'text': 'rug'}, {'label': 'B', 'text': 'room'}, {'label': 'C', 'text': 'toy'}, {'label': 'D', 'text': ""friend's house""}, {'label': 'E', 'text': 'building'}], 'stem': 'What might I place under the furniture?'}",furniture,What might I place under the furniture?,"A: rug, B: room, C: toy, D: friend's house, E: building"
